Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
26,67,Yes,7,Low,High,Neutral,4,Female,61,62,80,82,41,49,C+
26,88,Yes,5,Medium,High,Positive,4,Male,67,62,85,84,69,55,B
15,83,No,5,Low,High,Neutral,2,Female,53,54,84,77,79,48,C+
18,94,Yes,6,High,Medium,Positive,4,Male,61,67,84,86,77,54,B-
22,65,No,8,Medium,High,Positive,1,Female,58,51,81,79,72,49,C+
26,91,Yes,8,Medium,Medium,Neutral,3,Male,63,61,80,75,61,51,B-
17,87,No,7,Medium,Medium,Negative,5,Female,59,55,88,85,86,53,B-
19,65,Yes,10,Low,Medium,Positive,3,Male,52,58,80,82,56,45,C+
13,88,Yes,9,High,High,Negative,4,Male,55,58,84,84,78,51,B-
13,78,Yes,9,High,Medium,Neutral,3,Male,53,63,81,78,86,50,B-
25,98,Yes,8,Medium,High,Neutral,3,Male,65,64,85,83,46,54,B-
28,66,Yes,8,Medium,Medium,Neutral,2,Male,64,53,77,85,87,51,B-
20,86,Yes,8,Medium,Medium,Negative,3,Male,60,66,83,77,79,52,B-
26,75,Yes,4,High,High,Positive,2,Male,65,68,81,81,71,53,B-
22,98,No,5,Low,High,Negative,4,Female,61,64,87,78,59,52,B-
16,73,No,7,Medium,Medium,Negative,4,Male,54,52,83,74,85,48,C+
22,98,Yes,7,Medium,Medium,Positive,3,Female,62,59,82,84,42,53,B-
29,96,Yes,7,Medium,Medium,Positive,3,Male,68,62,82,86,62,54,B-
20,71,Yes,7,Medium,Low,Neutral,4,Female,56,53,78,82,78,48,C+
29,92,No,4,Medium,Medium,Negative,1,Female,69,70,86,82,81,55,B
4,100,Yes,8,High,High,Positive,4,Male,50,60,81,85,50,52,B-
25,70,No,7,Medium,Medium,Positive,3,Female,60,45,87,87,42,49,C+
21,77,Yes,7,Medium,Medium,Neutral,3,Male,59,60,79,79,80,51,B-
18,81,Yes,8,Medium,Medium,Neutral,3,Female,55,54,79,75,61,48,C+
21,72,Yes,5,Medium,Medium,Neutral,5,Male,55,54,78,80,47,47,C+
8,61,Yes,7,Medium,Medium,Positive,3,Male,43,49,74,73,44,43,C
19,69,Yes,7,High,Medium,Negative,2,Male,55,59,82,74,72,48,C+
22,71,No,6,High,Low,Positive,3,Male,58,62,79,77,69,49,C+
29,78,Yes,4,Low,High,Neutral,3,Male,71,66,89,86,83,57,B
17,67,Yes,5,High,Medium,Negative,3,Female,51,51,80,81,42,45,C+
15,95,No,7,Medium,Medium,Positive,4,Male,58,61,78,78,83,53,B-
17,88,Yes,7,Low,Medium,Neutral,3,Male,58,60,80,84,84,52,B-
25,63,Yes,7,Medium,High,Negative,4,Male,61,54,82,76,62,50,B-
22,86,No,6,Medium,Medium,Neutral,0,Male,56,57,84,78,44,47,C+
17,86,No,5,High,Medium,Neutral,3,Male,60,64,82,83,87,54,B-
23,98,Yes,7,Low,Medium,Negative,3,Female,61,66,81,78,44,51,B-
21,60,No,7,Medium,High,Neutral,4,Male,55,60,76,78,70,47,C+
26,70,Yes,8,Medium,Low,Neutral,4,Female,58,51,84,80,65,46,C+
16,97,Yes,6,Low,Medium,Positive,4,Male,59,65,77,83,82,54,B-
18,97,Yes,4,Low,Medium,Positive,3,Male,59,55,83,80,65,52,B-
18,89,Yes,4,Medium,Medium,Positive,2,Female,89,94,97,92,63,83,A+
11,91,No,6,Medium,Medium,Neutral,3,Male,53,56,83,84,84,51,B-
22,64,No,7,Low,Medium,Negative,3,Male,54,48,81,78,88,45,C+
22,81,Yes,7,Low,Medium,Positive,3,Female,60,60,85,77,67,51,B-
20,69,Yes,6,Medium,Medium,Positive,3,Male,57,45,81,85,63,49,C+
19,67,No,5,High,Medium,Positive,3,Male,54,47,75,76,82,47,C+
12,92,No,4,High,High,Neutral,3,Male,53,57,87,86,82,50,B-
17,65,Yes,8,Medium,High,Neutral,4,Female,54,56,79,81,56,48,C+
18,79,Yes,7,Medium,High,Neutral,3,Male,55,54,84,86,69,48,C+
15,98,No,6,High,High,Positive,3,Male,57,53,82,82,48,52,B-
19,67,No,5,High,Low,Negative,3,Male,53,50,82,76,72,46,C+
22,99,Yes,6,Low,Medium,Negative,4,Male,65,64,84,84,82,55,B
31,100,No,7,Medium,High,Positive,5,Male,74,69,85,85,49,59,B
21,82,Yes,7,High,Medium,Positive,3,Female,61,60,85,83,56,52,B-
22,67,Yes,7,High,High,Positive,2,Female,59,63,74,80,62,50,B-
20,73,Yes,9,Medium,High,Positive,3,Male,60,62,82,79,82,52,B-
8,77,Yes,6,Medium,Medium,Neutral,2,Male,47,50,80,77,77,46,C+
20,72,No,9,Medium,High,Positive,3,Male,58,56,83,82,56,50,B-
20,71,Yes,7,High,Medium,Negative,5,Male,57,50,80,79,52,49,C+
35,99,Yes,7,Low,High,Neutral,2,Female,79,69,81,84,75,62,B+
19,66,No,8,Medium,Medium,Neutral,3,Female,54,60,81,76,64,47,C+
22,89,Yes,6,Medium,High,Positive,3,Female,65,67,81,80,70,56,B
20,60,No,7,High,High,Positive,4,Male,54,60,82,77,72,46,C+
13,84,No,5,Medium,High,Positive,2,Male,52,54,82,89,68,48,C+
27,97,Yes,8,Medium,Medium,Positive,5,Female,68,70,84,82,71,56,B
25,72,Yes,8,Low,Medium,Positive,4,Female,64,60,88,87,84,53,B-
25,67,No,9,High,High,Positive,3,Female,62,65,86,84,83,51,B-
15,86,Yes,7,Medium,Medium,Negative,3,Male,53,56,78,80,47,48,C+
28,89,Yes,9,High,Medium,Positive,1,Female,67,65,78,80,69,54,B-
12,88,No,6,Low,Medium,Positive,2,Male,50,61,85,74,62,47,C+
24,73,Yes,8,Medium,Medium,Neutral,3,Male,61,58,89,75,54,51,B-
33,70,Yes,6,Low,High,Neutral,4,Male,68,61,80,79,72,52,B-
14,98,No,7,Medium,High,Positive,4,Female,56,66,84,78,66,52,B-
21,78,Yes,10,Medium,Low,Positive,2,Male,56,57,79,82,45,50,B-
17,94,Yes,8,Low,Medium,Neutral,6,Female,59,53,80,82,55,51,B-
11,78,Yes,8,Medium,Medium,Neutral,3,Male,53,64,89,81,41,47,C+
20,77,No,6,Low,High,Positive,4,Female,51,55,83,78,77,49,C+
14,66,No,7,Medium,High,Negative,3,Male,54,54,80,75,86,46,C+
23,77,Yes,7,Medium,High,Neutral,2,Male,53,62,82,78,69,49,C+
14,81,No,9,Medium,High,Negative,3,Female,59,54,78,75,71,49,C+
29,61,Yes,7,Low,Medium,Positive,3,Female,54,53,83,78,42,50,B-
15,78,No,9,Low,Medium,Negative,1,Male,62,57,86,81,65,48,C+
18,91,Yes,5,Medium,Medium,Neutral,3,Female,56,51,87,82,66,51,B-
25,87,No,9,High,High,Positive,2,Male,58,57,81,84,42,51,B-
13,85,No,6,Medium,Medium,Neutral,1,Male,59,57,78,88,79,48,C+
21,96,No,8,High,High,Neutral,0,Male,57,61,86,81,54,54,B-
28,61,No,6,High,Medium,Negative,3,Male,57,49,81,74,76,48,C+
10,82,No,8,Medium,High,Positive,1,Female,60,62,80,83,60,47,C+
21,91,No,6,Medium,Medium,Neutral,2,Female,57,63,82,79,90,55,B
22,82,No,9,Medium,Medium,Negative,2,Female,57,62,83,83,51,48,C+
25,73,No,8,High,High,Negative,5,Female,58,56,82,83,43,49,C+
13,65,No,6,Medium,Medium,Negative,4,Male,55,48,79,77,89,44,C
12,96,Yes,8,Medium,High,Negative,3,Female,54,60,82,85,52,51,B-
23,79,Yes,8,Low,Medium,Negative,3,Female,55,59,84,85,72,52,B-
22,95,Yes,6,Medium,Medium,Positive,3,Female,65,57,81,84,59,55,B
22,83,Yes,5,Medium,High,Positive,3,Female,63,68,80,85,72,54,B-
22,87,No,5,Low,High,Negative,3,Female,62,58,76,80,70,53,B-
16,92,Yes,5,Low,Medium,Neutral,2,Male,60,50,83,81,75,51,B-
21,86,Yes,5,Medium,High,Positive,2,Female,55,64,88,82,41,50,B-
22,76,Yes,8,Medium,High,Neutral,4,Female,60,56,85,83,82,51,B-
16,81,Yes,8,Medium,Medium,Positive,2,Female,60,56,82,80,64,51,B-
31,92,Yes,4,Medium,High,Positive,4,Male,60,55,81,80,66,55,B
23,75,No,6,Low,Medium,Neutral,2,Male,63,64,80,79,61,48,C+
13,76,No,5,Low,Medium,Positive,4,Female,59,51,79,75,89,49,C+
24,64,Yes,8,High,High,Negative,3,Male,51,56,82,85,80,48,C+
14,97,Yes,6,Medium,Medium,Negative,3,Female,60,62,81,83,56,50,B-
25,64,No,5,Low,Medium,Neutral,4,Male,53,59,83,79,79,49,C+
27,86,No,7,Low,High,Positive,4,Male,63,59,81,80,62,52,B-
15,77,Yes,8,Low,High,Positive,3,Male,61,49,77,79,84,49,C+
26,76,Yes,6,Medium,Low,Neutral,3,Male,57,56,88,81,42,52,B-
22,87,Yes,7,Medium,Medium,Neutral,2,Male,62,59,78,85,58,50,B-
25,63,Yes,6,Medium,Low,Positive,3,Male,59,53,78,77,61,49,C+
31,84,Yes,9,Medium,Medium,Neutral,3,Male,65,63,81,89,77,54,B-
19,91,No,6,Medium,High,Neutral,4,Male,68,64,81,78,49,53,B-
15,93,No,6,Medium,High,Positive,4,Male,61,66,86,78,54,54,B-
15,67,Yes,7,High,Medium,Positive,3,Male,54,51,83,81,76,49,C+
15,96,No,7,High,High,Negative,2,Male,55,68,80,81,44,50,B-
20,86,No,8,Medium,Medium,Neutral,4,Female,54,60,83,81,50,49,C+
22,95,No,9,Low,High,Positive,2,Male,63,63,91,79,78,55,B
22,79,No,9,Medium,Medium,Positive,3,Male,60,64,83,84,84,51,B-
25,82,No,6,Medium,High,Positive,3,Female,61,70,83,85,76,52,B-
20,97,Yes,7,Low,Low,Positive,3,Male,65,55,86,86,66,54,B-
29,96,Yes,9,Low,Medium,Neutral,2,Female,61,60,81,79,45,53,B-
18,78,No,9,High,Low,Neutral,4,Female,63,47,90,82,81,50,B-
36,71,Yes,6,Medium,Medium,Positive,2,Male,59,61,87,83,46,52,B-
24,76,No,8,Low,Medium,Neutral,1,Male,66,57,79,80,59,48,C+
15,76,No,8,Medium,Medium,Neutral,4,Male,58,56,83,81,43,48,C+
14,71,Yes,8,Low,High,Neutral,4,Male,52,52,74,80,75,47,C+
23,71,Yes,9,Low,Medium,Negative,2,Male,50,45,81,80,65,46,C+
19,94,Yes,5,Medium,Low,Positive,2,Male,62,61,83,82,85,52,B-
24,63,Yes,6,Medium,High,Neutral,5,Female,54,61,82,80,47,47,C+
23,87,Yes,8,High,Medium,Positive,3,Male,66,60,82,81,81,55,B
20,67,Yes,7,Medium,Medium,Neutral,4,Male,56,56,83,76,66,46,C+
15,74,Yes,4,Low,Medium,Positive,3,Female,55,48,78,71,58,47,C+
11,62,Yes,5,Medium,Medium,Neutral,4,Male,52,57,84,79,72,47,C+
17,71,Yes,8,Medium,Medium,Positive,1,Male,52,56,81,85,80,50,B-
25,91,No,8,Low,High,Positive,0,Male,60,58,78,82,62,54,B-
21,95,No,5,High,Low,Positive,4,Male,64,57,82,82,52,53,B-
13,69,Yes,9,Low,Medium,Neutral,4,Female,53,50,85,74,86,44,C
21,79,Yes,7,Low,Medium,Negative,4,Male,53,59,77,78,56,50,B-
22,79,No,5,Medium,High,Negative,3,Male,64,57,81,79,90,55,B
15,95,Yes,6,Low,Medium,Negative,5,Male,58,55,82,79,78,49,C+
21,91,Yes,5,Medium,Low,Neutral,2,Male,58,61,80,83,74,53,B-
20,81,Yes,6,High,Medium,Neutral,4,Male,59,53,81,79,41,50,B-
13,87,Yes,4,Medium,High,Neutral,3,Female,58,66,79,82,62,50,B-
22,94,Yes,7,High,Medium,Neutral,2,Female,58,58,86,88,65,54,B-
23,60,Yes,8,Medium,Medium,Positive,4,Male,58,54,81,74,59,49,C+
26,76,Yes,5,Medium,Medium,Positive,4,Male,61,54,86,85,47,51,B-
26,96,Yes,7,Medium,Medium,Positive,3,Female,69,73,80,82,58,57,B
12,90,Yes,6,Medium,Medium,Neutral,3,Male,59,57,85,75,44,47,C+
14,82,No,8,Medium,Medium,Positive,3,Male,51,52,83,75,55,48,C+
23,81,Yes,4,Medium,Medium,Neutral,3,Male,53,62,82,80,44,49,C+
23,74,Yes,8,Low,High,Negative,3,Male,59,58,83,83,78,49,C+
23,81,No,4,Medium,Medium,Positive,5,Male,61,60,81,74,74,51,B-
43,86,Yes,7,Medium,High,Positive,1,Female,71,67,84,85,87,61,B+
23,77,Yes,6,Low,Medium,Positive,2,Female,73,54,87,79,59,50,B-
27,89,Yes,6,Medium,Medium,Positive,3,Male,67,66,85,79,79,57,B
26,94,No,5,High,High,Positive,2,Male,69,62,81,88,69,57,B
24,66,No,9,Low,Medium,Neutral,2,Female,57,61,81,77,72,45,C+
18,78,Yes,5,Medium,Medium,Neutral,4,Male,59,51,82,83,67,49,C+
25,76,Yes,5,High,High,Neutral,3,Female,59,67,85,81,79,52,B-
15,87,Yes,10,Medium,High,Positive,3,Male,62,58,81,84,42,51,B-
19,70,No,7,High,Medium,Positive,2,Male,77,81,89,91,44,72,A
17,86,No,5,Low,Medium,Neutral,4,Male,56,61,78,86,45,49,C+
20,95,Yes,7,Low,High,Neutral,3,Female,57,56,79,77,54,51,B-
34,77,Yes,7,Low,Medium,Positive,3,Male,60,64,85,82,70,52,B-
9,96,Yes,4,High,Medium,Positive,4,Male,67,46,83,81,72,50,B-
24,100,Yes,6,Low,Medium,Positive,5,Male,59,62,88,79,76,58,B
10,64,No,7,High,Medium,Positive,4,Female,54,47,80,75,54,43,C
17,69,Yes,9,Medium,High,Positive,4,Female,51,51,80,80,73,49,C+
27,98,Yes,7,Low,Medium,Positive,3,Female,62,63,92,82,46,56,B
20,98,No,7,Low,High,Neutral,2,Female,63,60,82,82,40,51,B-
14,64,Yes,6,Medium,Medium,Neutral,3,Male,53,56,74,85,75,45,C+
16,61,No,9,Low,High,Positive,2,Male,49,54,82,76,76,45,C+
24,66,Yes,8,High,Medium,Neutral,4,Male,53,53,80,79,71,48,C+
16,100,Yes,8,High,Medium,Negative,3,Male,63,61,82,77,53,52,B-
21,67,No,7,Low,Medium,Neutral,2,Female,52,55,80,83,86,47,C+
20,80,No,5,Medium,Low,Positive,4,Female,59,62,83,76,84,50,B-
16,94,Yes,9,Medium,High,Neutral,2,Male,61,64,80,83,66,53,B-
33,61,No,7,High,High,Neutral,3,Female,58,61,82,87,89,53,B-
24,84,No,7,Low,High,Positive,3,Female,68,56,83,82,55,52,B-
8,71,No,8,Medium,High,Positive,3,Male,54,49,83,77,65,44,C
21,94,No,7,Low,Medium,Neutral,2,Male,52,57,80,85,86,52,B-
16,71,Yes,5,Medium,Medium,Neutral,0,Male,55,52,78,77,63,46,C+
25,87,Yes,7,Low,High,Neutral,4,Male,55,59,85,80,64,50,B-
19,69,Yes,7,High,High,Neutral,4,Male,60,60,83,76,51,49,C+
23,61,No,9,Medium,Medium,Neutral,2,Male,51,54,81,78,48,46,C+
25,76,Yes,4,Medium,Medium,Negative,3,Female,59,59,80,79,68,51,B-
13,72,No,7,Medium,High,Neutral,4,Male,58,56,84,77,56,48,C+
18,92,Yes,8,Medium,Medium,Positive,3,Male,61,55,82,84,44,50,B-
17,92,Yes,8,Medium,High,Neutral,3,Female,54,55,83,81,65,51,B-
16,78,No,6,Medium,Low,Neutral,3,Male,54,47,81,82,73,47,C+
31,84,No,5,High,Medium,Positive,3,Male,60,59,84,80,77,54,B-
22,84,Yes,6,Low,Medium,Neutral,5,Female,57,62,85,82,82,52,B-
12,93,Yes,9,Low,Medium,Neutral,3,Male,65,55,81,80,64,50,B-
26,77,No,4,Low,Low,Neutral,3,Female,58,55,74,79,60,48,C+
33,71,No,5,Medium,Medium,Positive,2,Male,54,61,81,80,74,51,B-
26,71,Yes,6,Low,Medium,Positive,3,Male,61,60,82,80,41,50,B-
11,81,Yes,6,High,High,Neutral,4,Male,66,53,82,89,72,50,B-
17,78,Yes,7,Medium,High,Positive,3,Male,61,61,79,81,60,49,C+
28,78,No,9,High,Medium,Neutral,4,Female,55,66,79,80,63,53,B-
16,64,Yes,5,Medium,High,Positive,4,Female,54,51,83,79,55,48,C+
23,89,Yes,7,Low,Low,Positive,4,Female,65,56,85,82,46,52,B-
25,69,Yes,7,Low,High,Positive,4,Female,53,61,76,72,60,48,C+
14,68,No,6,Medium,Medium,Neutral,3,Male,56,53,79,75,55,46,C+
20,77,No,5,Low,High,Neutral,2,Female,61,48,79,77,88,50,B-
1,69,Yes,6,Medium,Medium,Positive,3,Female,48,45,80,80,87,44,C
14,83,Yes,6,Medium,Medium,Positive,2,Female,56,55,80,79,72,48,C+
18,75,Yes,8,Medium,Low,Neutral,2,Female,45,52,77,76,85,49,C+
13,78,Yes,8,High,Low,Neutral,3,Male,53,55,85,72,78,49,C+
30,81,Yes,5,Medium,High,Negative,1,Male,59,60,84,80,57,52,B-
11,68,No,6,Medium,Medium,Positive,3,Female,49,60,79,81,70,46,C+
17,66,No,6,Medium,Medium,Positive,6,Male,62,54,78,78,51,48,C+
21,95,No,10,Low,Medium,Neutral,4,Male,53,63,78,84,74,50,B-
29,77,Yes,7,Medium,Medium,Negative,3,Female,58,66,82,79,42,52,B-
11,76,Yes,5,Medium,Low,Negative,2,Male,56,62,75,80,82,48,C+
27,61,No,6,Medium,Medium,Positive,3,Male,61,57,86,77,69,48,C+
20,80,Yes,6,Medium,Medium,Neutral,2,Male,51,47,79,84,43,48,C+
14,82,Yes,8,Low,High,Negative,5,Female,62,60,82,80,84,50,B-
23,82,Yes,8,Medium,Medium,Negative,2,Male,57,61,80,85,84,49,C+
21,88,No,7,Medium,Medium,Positive,3,Female,59,62,85,87,83,55,B
16,67,No,7,High,Medium,Positive,3,Male,59,65,84,79,79,49,C+
20,70,Yes,7,Low,High,Neutral,4,Male,57,60,73,77,74,48,C+
18,92,Yes,7,Medium,Medium,Neutral,3,Male,58,62,85,79,60,52,B-
21,98,No,4,Medium,Low,Neutral,2,Female,59,64,82,84,47,51,B-
24,65,No,7,Low,Medium,Neutral,1,Male,54,56,84,81,54,47,C+
30,80,No,6,Medium,Medium,Negative,4,Female,60,49,84,84,57,52,B-
13,69,Yes,5,Low,Medium,Positive,1,Female,52,48,74,74,58,42,C
33,62,Yes,10,Medium,Medium,Positive,3,Female,65,64,79,78,68,51,B-
8,73,No,7,Medium,Medium,Neutral,3,Female,46,47,82,76,50,43,C
19,66,No,7,Medium,Medium,Negative,3,Male,61,52,82,81,49,45,C+
24,88,Yes,6,Low,Low,Negative,3,Male,51,53,81,84,76,50,B-
22,81,Yes,8,High,Medium,Positive,5,Female,58,67,84,79,40,51,B-
16,66,Yes,5,High,Medium,Positive,3,Female,57,62,79,82,47,47,C+
19,60,Yes,7,High,High,Positive,3,Female,57,52,84,81,62,48,C+
17,92,Yes,6,Medium,Medium,Positive,2,Female,54,56,80,82,47,48,C+
16,67,No,8,Medium,Low,Neutral,3,Female,53,51,78,81,88,46,C+
25,84,Yes,6,Low,High,Positive,3,Male,59,64,84,82,74,53,B-
22,73,Yes,9,Low,Medium,Positive,3,Female,55,59,81,79,62,49,C+
16,83,Yes,7,Low,Medium,Positive,3,Female,62,62,84,84,46,51,B-
25,73,No,8,Medium,Medium,Positive,3,Female,58,58,80,77,59,49,C+
22,63,No,8,Medium,Medium,Negative,1,Male,51,67,80,80,73,46,C+
25,69,Yes,9,Medium,Medium,Negative,3,Female,60,52,89,81,88,49,C+
24,68,Yes,6,Medium,Medium,Neutral,3,Female,57,48,84,80,64,48,C+
15,77,Yes,8,High,Medium,Positive,2,Male,60,55,81,74,75,49,C+
17,86,Yes,4,High,Low,Positive,3,Female,60,51,82,80,50,50,B-
24,71,Yes,7,Medium,Medium,Positive,3,Male,54,50,78,82,71,49,C+
24,60,No,6,High,High,Negative,3,Female,52,49,85,73,52,46,C+
20,81,Yes,5,Low,Medium,Positive,4,Male,60,53,81,82,50,49,C+
21,84,No,6,Low,Medium,Positive,3,Male,60,53,85,83,65,50,B-
28,99,Yes,6,Medium,Medium,Positive,3,Male,62,64,87,82,51,54,B-
16,84,Yes,7,Medium,Medium,Neutral,2,Female,58,55,84,81,76,50,B-
23,79,Yes,6,Medium,Low,Neutral,4,Male,65,59,85,84,87,52,B-
19,83,Yes,7,Medium,Medium,Negative,4,Female,56,62,85,80,60,50,B-
19,97,Yes,6,High,Medium,Positive,2,Female,65,59,90,88,56,55,B
27,93,No,6,High,Medium,Negative,4,Female,60,60,85,89,49,53,B-
25,73,Yes,7,Low,Medium,Neutral,4,Male,57,59,83,81,60,50,B-
25,69,Yes,7,Medium,High,Negative,3,Female,59,46,75,86,68,47,C+
28,71,No,8,High,High,Neutral,1,Female,61,47,80,76,59,50,B-
20,80,No,8,Medium,Medium,Negative,4,Male,63,61,79,82,71,52,B-
24,90,No,7,Medium,Medium,Positive,3,Male,64,61,83,80,73,51,B-
18,80,No,8,Low,Low,Neutral,3,Male,54,63,82,76,45,46,C+
22,63,Yes,7,Medium,High,Negative,3,Female,62,59,84,78,75,51,B-
19,89,Yes,7,Medium,Medium,Positive,3,Male,60,64,79,83,85,53,B-
21,92,Yes,8,Low,Medium,Neutral,2,Male,58,56,85,85,41,49,C+
24,72,No,6,High,High,Negative,6,Female,58,60,84,82,68,51,B-
15,87,Yes,4,High,Medium,Positive,3,Male,58,65,82,80,70,50,B-
33,77,Yes,5,Medium,Medium,Neutral,5,Female,62,50,79,80,75,52,B-
14,96,Yes,9,High,Medium,Negative,3,Female,54,59,82,82,59,49,C+
13,94,Yes,7,Low,Medium,Neutral,3,Male,67,68,84,86,81,51,B-
27,81,Yes,7,Medium,Low,Neutral,2,Female,56,61,86,76,67,52,B-
25,88,Yes,7,Low,Medium,Positive,3,Male,56,68,81,82,60,53,B-
24,95,Yes,8,High,High,Neutral,3,Male,69,62,84,85,76,57,B
24,80,Yes,7,High,High,Positive,0,Female,64,61,81,80,86,53,B-
20,73,Yes,7,Low,High,Neutral,2,Male,59,57,82,83,81,49,C+
15,90,Yes,8,Medium,High,Negative,3,Female,62,50,82,83,87,52,B-
20,69,No,6,Low,Medium,Negative,3,Male,55,50,80,75,53,47,C+
16,76,Yes,8,Medium,Medium,Positive,1,Male,50,48,78,76,46,45,C+
26,95,No,7,Medium,Medium,Neutral,3,Female,61,64,86,87,67,53,B-
19,89,Yes,7,Medium,Medium,Negative,4,Male,56,63,85,83,42,51,B-
15,76,Yes,6,Low,High,Neutral,3,Female,60,57,83,86,74,48,C+
18,69,No,7,Low,Medium,Positive,3,Male,55,59,76,82,52,48,C+
22,74,Yes,6,Low,High,Positive,4,Female,59,61,85,84,63,54,B-
17,71,Yes,9,Low,Medium,Neutral,5,Male,56,62,84,81,73,49,C+
15,67,No,4,Medium,Medium,Negative,3,Male,54,52,79,80,64,44,C
21,90,Yes,8,Low,High,Negative,5,Male,56,58,83,83,52,50,B-
21,70,Yes,4,Medium,High,Neutral,2,Male,53,55,84,78,84,48,C+
17,78,No,8,Medium,Medium,Negative,3,Female,57,59,83,78,78,48,C+
17,75,Yes,6,Medium,Medium,Positive,5,Male,57,54,84,81,70,48,C+
