Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
31,70,Yes,7,Medium,Medium,Negative,3,Male,84,68,89,81,64,69,A-
20,69,Yes,8,Medium,High,Positive,3,Male,75,77,87,86,94,67,A-
14,60,No,5,Medium,Medium,Neutral,3,Female,65,73,86,77,48,61,B+
25,65,No,5,Medium,Medium,Positive,3,Female,79,72,88,84,88,68,A-
13,72,No,6,Low,Medium,Negative,3,Male,64,68,84,77,91,61,B+
21,65,Yes,7,Low,High,Positive,3,Female,73,73,83,81,89,64,B+
8,99,No,9,Low,Medium,Neutral,5,Female,68,78,77,85,52,67,A-
12,72,Yes,8,Medium,Medium,Positive,5,Female,66,62,83,84,82,63,B+
21,65,Yes,6,Low,High,Negative,4,Male,73,68,82,87,96,64,B+
24,68,No,8,Low,High,Neutral,1,Male,78,73,84,86,54,67,A-
21,84,Yes,6,Low,High,Neutral,2,Female,74,76,80,86,50,65,A-
19,63,No,7,Medium,Medium,Positive,3,Male,72,83,87,86,92,64,B+
18,94,Yes,7,Medium,Medium,Negative,2,Male,77,77,82,85,80,70,A
11,98,Yes,9,Low,Medium,Positive,3,Male,70,69,88,86,80,68,A-
16,70,Yes,8,Medium,Medium,Positive,3,Male,70,74,84,74,96,65,A-
17,78,Yes,6,Medium,High,Positive,3,Female,74,82,88,81,86,68,A-
26,61,Yes,6,Medium,Medium,Positive,3,Female,76,72,87,83,68,64,B+
22,86,Yes,7,Low,High,Positive,2,Male,77,72,92,83,70,68,A-
9,77,No,5,Medium,High,Neutral,3,Male,64,75,88,78,55,63,B+
22,71,Yes,7,Low,Low,Positive,4,Male,73,75,88,79,63,64,B+
18,68,No,7,Medium,Medium,Neutral,3,Male,71,67,89,85,70,64,B+
16,86,Yes,8,Medium,Medium,Positive,4,Male,72,76,86,82,61,67,A-
24,77,No,8,Medium,Medium,Neutral,3,Female,77,79,86,82,94,67,A-
26,67,Yes,7,Low,High,Neutral,4,Female,78,79,84,85,49,66,A-
26,88,Yes,5,Medium,High,Positive,4,Male,84,79,89,88,77,72,A
15,83,No,5,Low,High,Neutral,2,Female,70,71,88,81,87,65,A-
18,94,Yes,6,High,Medium,Positive,4,Male,78,84,88,90,85,71,A
22,65,No,8,Medium,High,Positive,1,Female,75,68,85,83,80,66,A-
26,91,Yes,8,Medium,Medium,Neutral,3,Male,80,78,84,79,69,68,A-
17,87,No,7,Medium,Medium,Negative,5,Female,76,71,92,89,94,70,A
19,65,Yes,10,Low,Medium,Positive,3,Male,69,74,84,86,64,62,B+
13,88,Yes,9,High,High,Negative,4,Male,72,74,88,88,86,68,A-
13,78,Yes,9,High,Medium,Neutral,3,Male,70,80,85,82,94,67,A-
25,98,Yes,8,Medium,High,Neutral,3,Male,82,81,89,87,54,71,A
28,66,Yes,8,Medium,Medium,Neutral,2,Male,81,70,81,89,95,68,A-
20,86,Yes,8,Medium,Medium,Negative,3,Male,77,83,87,81,87,69,A-
26,75,Yes,4,High,High,Positive,2,Male,82,85,85,84,79,70,A
22,98,No,5,Low,High,Negative,4,Female,78,81,91,82,67,69,A-
16,73,No,7,Medium,Medium,Negative,4,Male,71,69,87,77,93,65,A-
22,98,Yes,7,Medium,Medium,Positive,3,Female,79,76,86,87,50,70,A
29,96,Yes,7,Medium,Medium,Positive,3,Male,85,79,86,90,70,71,A
20,71,Yes,7,Medium,Low,Neutral,4,Female,73,70,82,85,86,65,A-
29,92,No,4,Medium,Medium,Negative,1,Female,86,87,90,86,89,72,A
4,100,Yes,8,High,High,Positive,4,Male,67,77,85,89,58,69,A-
25,70,No,7,Medium,Medium,Positive,3,Female,77,62,91,91,50,66,A-
21,77,Yes,7,Medium,Medium,Neutral,3,Male,76,77,83,83,88,68,A-
18,81,Yes,8,Medium,Medium,Neutral,3,Female,72,71,83,79,69,65,A-
21,72,Yes,5,Medium,Medium,Neutral,5,Male,72,71,82,84,55,64,B+
8,61,Yes,7,Medium,Medium,Positive,3,Male,60,66,78,76,52,60,B+
19,69,Yes,7,High,Medium,Negative,2,Male,72,76,86,78,80,65,A-
22,71,No,6,High,Low,Positive,3,Male,75,79,83,81,77,66,A-
29,78,Yes,4,Low,High,Neutral,3,Male,88,83,93,89,91,74,A
17,67,Yes,5,High,Medium,Negative,3,Female,68,68,84,84,50,62,B+
15,95,No,7,Medium,Medium,Positive,4,Male,75,77,82,81,91,70,A
17,88,Yes,7,Low,Medium,Neutral,3,Male,75,77,84,88,92,69,A-
25,63,Yes,7,Medium,High,Negative,4,Male,78,71,86,80,70,67,A-
22,86,No,6,Medium,Medium,Neutral,0,Male,73,74,88,82,52,64,B+
17,86,No,5,High,Medium,Neutral,3,Male,77,81,86,87,95,71,A
23,98,Yes,7,Low,Medium,Negative,3,Female,78,83,85,81,52,68,A-
21,60,No,7,Medium,High,Neutral,4,Male,72,77,80,82,78,64,B+
26,70,Yes,8,Medium,Low,Neutral,4,Female,75,68,88,84,73,63,B+
16,97,Yes,6,Low,Medium,Positive,4,Male,76,82,81,87,90,71,A
18,97,Yes,4,Low,Medium,Positive,3,Male,76,72,87,84,73,69,A-
18,89,Yes,4,Medium,Medium,Positive,2,Female,100,100,100,96,71,100,A+
11,91,No,6,Medium,Medium,Neutral,3,Male,70,73,87,88,92,68,A-
22,64,No,7,Low,Medium,Negative,3,Male,71,65,85,82,96,62,B+
22,81,Yes,7,Low,Medium,Positive,3,Female,77,77,89,81,75,68,A-
20,69,Yes,6,Medium,Medium,Positive,3,Male,74,62,85,89,71,66,A-
19,67,No,5,High,Medium,Positive,3,Male,71,64,79,79,90,64,B+
12,92,No,4,High,High,Neutral,3,Male,70,74,91,90,90,67,A-
17,65,Yes,8,Medium,High,Neutral,4,Female,71,73,83,84,64,65,A-
18,79,Yes,7,Medium,High,Neutral,3,Male,72,71,88,90,77,65,A-
15,98,No,6,High,High,Positive,3,Male,74,70,86,86,56,69,A-
19,67,No,5,High,Low,Negative,3,Male,70,67,86,80,80,63,B+
22,99,Yes,6,Low,Medium,Negative,4,Male,81,81,88,88,90,72,A
31,100,No,7,Medium,High,Positive,5,Male,91,86,89,88,57,76,A
21,82,Yes,7,High,Medium,Positive,3,Female,78,77,89,87,64,69,A-
22,67,Yes,7,High,High,Positive,2,Female,76,80,78,84,70,67,A-
20,73,Yes,9,Medium,High,Positive,3,Male,77,78,86,83,90,69,A-
8,77,Yes,6,Medium,Medium,Neutral,2,Male,64,67,84,81,85,63,B+
20,72,No,9,Medium,High,Positive,3,Male,75,73,87,86,64,67,A-
20,71,Yes,7,High,Medium,Negative,5,Male,74,67,84,83,60,66,A-
35,99,Yes,7,Low,High,Neutral,2,Female,96,86,85,87,83,79,A
19,66,No,8,Medium,Medium,Neutral,3,Female,71,77,85,80,72,64,B+
22,89,Yes,6,Medium,High,Positive,3,Female,82,84,85,84,78,73,A
20,60,No,7,High,High,Positive,4,Male,71,77,86,81,80,63,B+
13,84,No,5,Medium,High,Positive,2,Male,69,71,86,92,76,65,A-
27,97,Yes,8,Medium,Medium,Positive,5,Female,85,87,88,85,79,73,A
25,72,Yes,8,Low,Medium,Positive,4,Female,81,77,92,91,92,70,A
25,67,No,9,High,High,Positive,3,Female,79,82,90,88,91,68,A-
15,86,Yes,7,Medium,Medium,Negative,3,Male,70,73,82,84,55,65,A-
28,89,Yes,9,High,Medium,Positive,1,Female,84,82,82,84,77,71,A
12,88,No,6,Low,Medium,Positive,2,Male,67,78,89,77,70,64,B+
24,73,Yes,8,Medium,Medium,Neutral,3,Male,78,75,93,79,62,68,A-
33,70,Yes,6,Low,High,Neutral,4,Male,85,78,84,82,80,69,A-
14,98,No,7,Medium,High,Positive,4,Female,73,82,88,82,74,69,A-
21,78,Yes,10,Medium,Low,Positive,2,Male,73,74,83,85,53,67,A-
17,94,Yes,8,Low,Medium,Neutral,6,Female,76,70,84,85,63,68,A-
11,78,Yes,8,Medium,Medium,Neutral,3,Male,70,81,93,85,49,64,B+
20,77,No,6,Low,High,Positive,4,Female,68,72,87,82,85,66,A-
14,66,No,7,Medium,High,Negative,3,Male,71,71,84,79,94,63,B+
23,77,Yes,7,Medium,High,Neutral,2,Male,70,79,86,82,77,66,A-
14,81,No,9,Medium,High,Negative,3,Female,76,71,82,79,79,66,A-
29,61,Yes,7,Low,Medium,Positive,3,Female,71,70,87,81,50,67,A-
15,78,No,9,Low,Medium,Negative,1,Male,79,74,90,85,73,65,A-
18,91,Yes,5,Medium,Medium,Neutral,3,Female,73,68,91,86,74,68,A-
25,87,No,9,High,High,Positive,2,Male,75,74,85,88,50,68,A-
13,85,No,6,Medium,Medium,Neutral,1,Male,76,74,82,92,87,65,A-
21,96,No,8,High,High,Neutral,0,Male,74,77,90,85,62,71,A
28,61,No,6,High,Medium,Negative,3,Male,74,66,85,77,84,65,A-
10,82,No,8,Medium,High,Positive,1,Female,77,79,84,86,68,64,B+
21,91,No,6,Medium,Medium,Neutral,2,Female,74,80,86,83,98,72,A
22,82,No,9,Medium,Medium,Negative,2,Female,74,79,87,87,59,65,A-
25,73,No,8,High,High,Negative,5,Female,75,72,86,87,51,66,A-
13,65,No,6,Medium,Medium,Negative,4,Male,72,65,83,80,97,61,B+
12,96,Yes,8,Medium,High,Negative,3,Female,71,77,86,89,60,68,A-
23,79,Yes,8,Low,Medium,Negative,3,Female,72,76,88,88,80,69,A-
22,95,Yes,6,Medium,Medium,Positive,3,Female,82,74,85,88,67,72,A
22,83,Yes,5,Medium,High,Positive,3,Female,80,85,84,89,80,71,A
22,87,No,5,Low,High,Negative,3,Female,79,75,80,84,78,70,A
16,92,Yes,5,Low,Medium,Neutral,2,Male,77,67,87,85,83,68,A-
21,86,Yes,5,Medium,High,Positive,2,Female,72,81,92,86,49,67,A-
22,76,Yes,8,Medium,High,Neutral,4,Female,77,73,89,87,90,68,A-
16,81,Yes,8,Medium,Medium,Positive,2,Female,77,73,86,83,72,68,A-
31,92,Yes,4,Medium,High,Positive,4,Male,77,72,85,84,74,72,A
23,75,No,6,Low,Medium,Neutral,2,Male,80,81,84,83,69,65,A-
13,76,No,5,Low,Medium,Positive,4,Female,76,68,83,78,97,66,A-
24,64,Yes,8,High,High,Negative,3,Male,68,73,86,89,88,65,A-
14,97,Yes,6,Medium,Medium,Negative,3,Female,77,79,85,86,64,67,A-
25,64,No,5,Low,Medium,Neutral,4,Male,70,76,87,83,87,66,A-
27,86,No,7,Low,High,Positive,4,Male,80,76,85,84,70,69,A-
15,77,Yes,8,Low,High,Positive,3,Male,78,66,81,83,92,66,A-
26,76,Yes,6,Medium,Low,Neutral,3,Male,74,73,92,85,50,69,A-
22,87,Yes,7,Medium,Medium,Neutral,2,Male,79,76,82,88,66,67,A-
25,63,Yes,6,Medium,Low,Positive,3,Male,76,70,82,80,69,66,A-
31,84,Yes,9,Medium,Medium,Neutral,3,Male,82,80,85,93,85,71,A
19,91,No,6,Medium,High,Neutral,4,Male,85,81,85,82,57,70,A
15,93,No,6,Medium,High,Positive,4,Male,78,83,90,82,62,71,A
15,67,Yes,7,High,Medium,Positive,3,Male,71,68,87,84,84,66,A-
15,96,No,7,High,High,Negative,2,Male,72,85,84,85,52,67,A-
20,86,No,8,Medium,Medium,Neutral,4,Female,71,77,87,85,58,66,A-
22,95,No,9,Low,High,Positive,2,Male,80,80,95,83,86,72,A
22,79,No,9,Medium,Medium,Positive,3,Male,77,81,87,88,92,68,A-
25,82,No,6,Medium,High,Positive,3,Female,78,87,87,89,84,69,A-
20,97,Yes,7,Low,Low,Positive,3,Male,82,72,90,90,74,71,A
29,96,Yes,9,Low,Medium,Neutral,2,Female,78,77,85,83,53,70,A
18,78,No,9,High,Low,Neutral,4,Female,80,64,94,86,89,67,A-
36,71,Yes,6,Medium,Medium,Positive,2,Male,76,78,91,86,54,69,A-
24,76,No,8,Low,Medium,Neutral,1,Male,83,74,83,84,67,65,A-
15,76,No,8,Medium,Medium,Neutral,4,Male,75,72,87,84,51,65,A-
14,71,Yes,8,Low,High,Neutral,4,Male,69,69,78,84,83,64,B+
23,71,Yes,9,Low,Medium,Negative,2,Male,67,61,85,83,73,63,B+
19,94,Yes,5,Medium,Low,Positive,2,Male,79,78,87,86,93,69,A-
24,63,Yes,6,Medium,High,Neutral,5,Female,71,78,86,84,55,64,B+
23,87,Yes,8,High,Medium,Positive,3,Male,83,77,86,85,89,72,A
20,67,Yes,7,Medium,Medium,Neutral,4,Male,73,73,87,79,74,63,B+
15,74,Yes,4,Low,Medium,Positive,3,Female,72,65,82,75,66,64,B+
11,62,Yes,5,Medium,Medium,Neutral,4,Male,69,74,88,83,80,64,B+
17,71,Yes,8,Medium,Medium,Positive,1,Male,69,73,85,88,88,67,A-
25,91,No,8,Low,High,Positive,0,Male,77,75,82,86,70,71,A
21,95,No,5,High,Low,Positive,4,Male,81,74,86,85,60,70,A
13,69,Yes,9,Low,Medium,Neutral,4,Female,70,67,89,78,94,61,B+
21,79,Yes,7,Low,Medium,Negative,4,Male,70,76,81,81,64,67,A-
22,79,No,5,Medium,High,Negative,3,Male,81,74,85,83,98,72,A
15,95,Yes,6,Low,Medium,Negative,5,Male,75,72,86,83,86,66,A-
21,91,Yes,5,Medium,Low,Neutral,2,Male,75,77,84,87,82,70,A
20,81,Yes,6,High,Medium,Neutral,4,Male,76,70,85,83,49,67,A-
13,87,Yes,4,Medium,High,Neutral,3,Female,75,83,83,86,70,67,A-
22,94,Yes,7,High,Medium,Neutral,2,Female,75,75,90,92,73,71,A
23,60,Yes,8,Medium,Medium,Positive,4,Male,75,71,85,78,67,66,A-
26,76,Yes,5,Medium,Medium,Positive,4,Male,78,71,90,89,55,68,A-
26,96,Yes,7,Medium,Medium,Positive,3,Female,86,90,84,86,66,74,A
12,90,Yes,6,Medium,Medium,Neutral,3,Male,76,74,89,78,52,64,B+
14,82,No,8,Medium,Medium,Positive,3,Male,68,68,87,79,63,65,A-
23,81,Yes,4,Medium,Medium,Neutral,3,Male,70,79,86,84,52,66,A-
23,74,Yes,8,Low,High,Negative,3,Male,76,75,87,87,86,66,A-
23,81,No,4,Medium,Medium,Positive,5,Male,78,77,85,77,82,68,A-
43,86,Yes,7,Medium,High,Positive,1,Female,88,84,88,88,95,78,A
23,77,Yes,6,Low,Medium,Positive,2,Female,90,71,91,83,67,67,A-
27,89,Yes,6,Medium,Medium,Positive,3,Male,84,83,89,82,87,74,A
26,94,No,5,High,High,Positive,2,Male,86,79,85,92,77,74,A
24,66,No,9,Low,Medium,Neutral,2,Female,74,78,85,81,80,62,B+
18,78,Yes,5,Medium,Medium,Neutral,4,Male,76,68,86,87,75,66,A-
25,76,Yes,5,High,High,Neutral,3,Female,76,84,89,85,87,69,A-
15,87,Yes,10,Medium,High,Positive,3,Male,79,75,85,88,50,68,A-
19,70,No,7,High,Medium,Positive,2,Male,94,98,93,95,52,89,A+
17,86,No,5,Low,Medium,Neutral,4,Male,73,77,82,90,53,66,A-
20,95,Yes,7,Low,High,Neutral,3,Female,74,73,83,80,62,68,A-
34,77,Yes,7,Low,Medium,Positive,3,Male,77,81,89,86,78,69,A-
9,96,Yes,4,High,Medium,Positive,4,Male,84,62,87,84,80,67,A-
24,100,Yes,6,Low,Medium,Positive,5,Male,76,79,92,83,84,75,A
10,64,No,7,High,Medium,Positive,4,Female,71,64,84,79,62,60,B+
17,69,Yes,9,Medium,High,Positive,4,Female,68,68,84,83,81,66,A-
27,98,Yes,7,Low,Medium,Positive,3,Female,79,80,96,85,54,73,A
20,98,No,7,Low,High,Neutral,2,Female,80,77,86,86,48,68,A-
14,64,Yes,6,Medium,Medium,Neutral,3,Male,70,73,78,89,83,62,B+
16,61,No,9,Low,High,Positive,2,Male,66,71,86,80,84,62,B+
24,66,Yes,8,High,Medium,Neutral,4,Male,70,70,84,82,79,65,A-
16,100,Yes,8,High,Medium,Negative,3,Male,80,78,86,81,61,69,A-
21,67,No,7,Low,Medium,Neutral,2,Female,69,72,84,86,94,64,B+
20,80,No,5,Medium,Low,Positive,4,Female,76,79,87,80,92,67,A-
16,94,Yes,9,Medium,High,Neutral,2,Male,78,81,84,87,74,70,A
33,61,No,7,High,High,Neutral,3,Female,75,78,86,91,97,70,A
24,84,No,7,Low,High,Positive,3,Female,85,73,87,86,63,69,A-
8,71,No,8,Medium,High,Positive,3,Male,71,66,87,80,73,61,B+
21,94,No,7,Low,Medium,Neutral,2,Male,69,74,84,89,94,69,A-
16,71,Yes,5,Medium,Medium,Neutral,0,Male,72,69,82,81,71,63,B+
25,87,Yes,7,Low,High,Neutral,4,Male,72,76,89,84,72,67,A-
19,69,Yes,7,High,High,Neutral,4,Male,77,77,87,80,59,66,A-
23,61,No,9,Medium,Medium,Neutral,2,Male,68,70,85,81,56,63,B+
25,76,Yes,4,Medium,Medium,Negative,3,Female,76,76,84,83,76,68,A-
13,72,No,7,Medium,High,Neutral,4,Male,75,73,88,81,64,65,A-
18,92,Yes,8,Medium,Medium,Positive,3,Male,78,72,86,88,52,67,A-
17,92,Yes,8,Medium,High,Neutral,3,Female,71,71,87,85,73,68,A-
16,78,No,6,Medium,Low,Neutral,3,Male,71,64,85,86,81,64,B+
31,84,No,5,High,Medium,Positive,3,Male,77,76,88,84,85,71,A
22,84,Yes,6,Low,Medium,Neutral,5,Female,74,79,89,86,90,69,A-
12,93,Yes,9,Low,Medium,Neutral,3,Male,82,72,85,84,72,67,A-
26,77,No,4,Low,Low,Neutral,3,Female,75,72,78,82,68,65,A-
33,71,No,5,Medium,Medium,Positive,2,Male,71,78,85,84,82,68,A-
26,71,Yes,6,Low,Medium,Positive,3,Male,78,77,86,83,49,67,A-
11,81,Yes,6,High,High,Neutral,4,Male,83,70,86,92,80,67,A-
17,78,Yes,7,Medium,High,Positive,3,Male,78,78,83,85,68,66,A-
28,78,No,9,High,Medium,Neutral,4,Female,72,83,83,83,71,70,A
16,64,Yes,5,Medium,High,Positive,4,Female,71,68,87,82,63,65,A-
23,89,Yes,7,Low,Low,Positive,4,Female,82,73,89,85,54,69,A-
25,69,Yes,7,Low,High,Positive,4,Female,70,78,80,75,68,65,A-
14,68,No,6,Medium,Medium,Neutral,3,Male,73,70,83,79,63,63,B+
20,77,No,5,Low,High,Neutral,2,Female,78,65,83,81,96,67,A-
1,69,Yes,6,Medium,Medium,Positive,3,Female,65,62,84,84,95,61,B+
14,83,Yes,6,Medium,Medium,Positive,2,Female,73,72,84,82,80,65,A-
18,75,Yes,8,Medium,Low,Neutral,2,Female,62,68,81,80,93,66,A-
13,78,Yes,8,High,Low,Neutral,3,Male,70,72,89,76,86,66,A-
30,81,Yes,5,Medium,High,Negative,1,Male,76,77,88,84,65,69,A-
11,68,No,6,Medium,Medium,Positive,3,Female,66,77,83,84,78,63,B+
17,66,No,6,Medium,Medium,Positive,6,Male,79,71,82,82,59,65,A-
21,95,No,10,Low,Medium,Neutral,4,Male,70,79,82,87,82,67,A-
29,77,Yes,7,Medium,Medium,Negative,3,Female,75,83,86,82,50,69,A-
11,76,Yes,5,Medium,Low,Negative,2,Male,73,79,79,84,90,65,A-
27,61,No,6,Medium,Medium,Positive,3,Male,78,74,90,81,77,65,A-
20,80,Yes,6,Medium,Medium,Neutral,2,Male,68,64,83,88,51,65,A-
14,82,Yes,8,Low,High,Negative,5,Female,79,77,86,84,92,67,A-
23,82,Yes,8,Medium,Medium,Negative,2,Male,74,78,84,88,92,66,A-
21,88,No,7,Medium,Medium,Positive,3,Female,76,79,89,91,91,72,A
16,67,No,7,High,Medium,Positive,3,Male,76,82,88,83,87,66,A-
20,70,Yes,7,Low,High,Neutral,4,Male,74,77,77,81,82,65,A-
18,92,Yes,7,Medium,Medium,Neutral,3,Male,75,79,89,83,68,69,A-
21,98,No,4,Medium,Low,Neutral,2,Female,76,81,86,88,55,68,A-
24,65,No,7,Low,Medium,Neutral,1,Male,71,73,88,84,62,64,B+
30,80,No,6,Medium,Medium,Negative,4,Female,77,65,88,88,65,69,A-
13,69,Yes,5,Low,Medium,Positive,1,Female,69,64,78,78,66,59,B
33,62,Yes,10,Medium,Medium,Positive,3,Female,82,81,83,81,76,68,A-
8,73,No,7,Medium,Medium,Neutral,3,Female,63,64,86,80,58,60,B+
19,66,No,7,Medium,Medium,Negative,3,Male,78,69,86,85,57,62,B+
24,88,Yes,6,Low,Low,Negative,3,Male,68,70,85,87,84,67,A-
22,81,Yes,8,High,Medium,Positive,5,Female,75,84,88,83,48,68,A-
16,66,Yes,5,High,Medium,Positive,3,Female,74,79,83,85,55,64,B+
19,60,Yes,7,High,High,Positive,3,Female,74,69,88,85,70,65,A-
17,92,Yes,6,Medium,Medium,Positive,2,Female,71,73,84,86,55,65,A-
16,67,No,8,Medium,Low,Neutral,3,Female,70,68,82,85,96,63,B+
25,84,Yes,6,Low,High,Positive,3,Male,76,80,88,85,82,70,A
22,73,Yes,9,Low,Medium,Positive,3,Female,72,76,85,83,70,66,A-
16,83,Yes,7,Low,Medium,Positive,3,Female,79,79,88,88,54,68,A-
25,73,No,8,Medium,Medium,Positive,3,Female,75,75,84,80,67,66,A-
22,63,No,8,Medium,Medium,Negative,1,Male,68,84,84,83,81,63,B+
25,69,Yes,9,Medium,Medium,Negative,3,Female,77,69,93,85,96,66,A-
24,68,Yes,6,Medium,Medium,Neutral,3,Female,74,65,88,83,72,65,A-
15,77,Yes,8,High,Medium,Positive,2,Male,77,72,85,77,83,66,A-
17,86,Yes,4,High,Low,Positive,3,Female,77,68,86,84,58,67,A-
24,71,Yes,7,Medium,Medium,Positive,3,Male,71,67,82,85,79,66,A-
24,60,No,6,High,High,Negative,3,Female,69,66,89,76,60,63,B+
20,81,Yes,5,Low,Medium,Positive,4,Male,77,70,85,85,58,66,A-
21,84,No,6,Low,Medium,Positive,3,Male,77,70,89,86,73,67,A-
28,99,Yes,6,Medium,Medium,Positive,3,Male,79,81,91,86,59,71,A
16,84,Yes,7,Medium,Medium,Neutral,2,Female,75,72,88,85,84,67,A-
23,79,Yes,6,Medium,Low,Neutral,4,Male,82,76,89,88,95,69,A-
19,83,Yes,7,Medium,Medium,Negative,4,Female,73,79,89,83,68,67,A-
19,97,Yes,6,High,Medium,Positive,2,Female,82,76,94,91,64,72,A
27,93,No,6,High,Medium,Negative,4,Female,77,76,89,92,57,70,A
25,73,Yes,7,Low,Medium,Neutral,4,Male,74,76,87,85,68,67,A-
25,69,Yes,7,Medium,High,Negative,3,Female,76,63,79,89,76,64,B+
28,71,No,8,High,High,Neutral,1,Female,78,64,84,79,67,67,A-
20,80,No,8,Medium,Medium,Negative,4,Male,80,78,83,85,79,69,A-
24,90,No,7,Medium,Medium,Positive,3,Male,81,78,87,83,81,68,A-
18,80,No,8,Low,Low,Neutral,3,Male,71,80,86,80,53,63,B+
22,63,Yes,7,Medium,High,Negative,3,Female,79,76,88,81,83,68,A-
19,89,Yes,7,Medium,Medium,Positive,3,Male,77,81,83,87,93,70,A
21,92,Yes,8,Low,Medium,Neutral,2,Male,75,73,89,88,49,66,A-
24,72,No,6,High,High,Negative,6,Female,75,77,88,86,76,68,A-
15,87,Yes,4,High,Medium,Positive,3,Male,75,82,86,83,78,67,A-
33,77,Yes,5,Medium,Medium,Neutral,5,Female,79,67,83,84,83,69,A-
14,96,Yes,9,High,Medium,Negative,3,Female,71,76,86,86,67,66,A-
13,94,Yes,7,Low,Medium,Neutral,3,Male,84,85,88,90,89,68,A-
27,81,Yes,7,Medium,Low,Neutral,2,Female,73,78,90,80,75,69,A-
25,88,Yes,7,Low,Medium,Positive,3,Male,73,85,85,85,68,70,A
24,95,Yes,8,High,High,Neutral,3,Male,86,79,88,89,84,74,A
24,80,Yes,7,High,High,Positive,0,Female,81,78,85,84,94,70,A
20,73,Yes,7,Low,High,Neutral,2,Male,76,74,86,86,89,66,A-
15,90,Yes,8,Medium,High,Negative,3,Female,79,67,86,87,95,69,A-
20,69,No,6,Low,Medium,Negative,3,Male,72,66,84,79,61,64,B+
16,76,Yes,8,Medium,Medium,Positive,1,Male,67,65,82,80,54,62,B+
26,95,No,7,Medium,Medium,Neutral,3,Female,78,81,90,91,75,70,A
19,89,Yes,7,Medium,Medium,Negative,4,Male,73,80,89,86,50,68,A-
15,76,Yes,6,Low,High,Neutral,3,Female,77,74,87,89,82,65,A-
18,69,No,7,Low,Medium,Positive,3,Male,72,76,80,86,60,65,A-
22,74,Yes,6,Low,High,Positive,4,Female,76,78,89,88,71,71,A
17,71,Yes,9,Low,Medium,Neutral,5,Male,73,79,88,84,81,66,A-
15,67,No,4,Medium,Medium,Negative,3,Male,71,69,83,84,72,61,B+
21,90,Yes,8,Low,High,Negative,5,Male,73,75,87,87,60,67,A-
21,70,Yes,4,Medium,High,Neutral,2,Male,70,71,88,81,92,65,A-
17,78,No,8,Medium,Medium,Negative,3,Female,74,76,87,82,86,65,A-
17,75,Yes,6,Medium,Medium,Positive,5,Male,74,71,88,85,78,65,A-
21,99,No,8,High,Medium,Positive,4,Male,79,85,94,92,83,73,A
