Hours_Studied,Attendance,Extracurricular_Activities,Sleep_Hours,Motivation_Level,Teacher_Quality,Peer_Influence,Physical_Activity,Gender,quiz1,quiz2,Assignment1,Assignment2,Midterm_Marks,Final_Marks,Grade
8,73,No,7,Medium,Medium,Neutral,3,Female,55,58,85,79,55,53,B-
19,66,No,7,Medium,Medium,Negative,3,Male,73,62,85,84,54,55,B
24,88,Yes,6,Low,Low,Negative,3,Male,59,64,84,86,81,60,B+
22,81,Yes,8,High,Medium,Positive,5,Female,68,75,87,82,45,61,B+
16,66,Yes,5,High,Medium,Positive,3,Female,68,71,82,84,52,57,B
19,60,Yes,7,High,High,Positive,3,Female,67,63,87,84,67,58,B
17,92,Yes,6,Medium,Medium,Positive,2,Female,63,66,83,85,52,58,B
16,67,No,8,Medium,Low,Neutral,3,Female,63,61,81,84,93,56,B
25,84,Yes,6,Low,High,Positive,3,Male,69,73,87,84,79,63,B+
22,73,Yes,9,Low,Medium,Positive,3,Female,64,68,84,82,67,59,B
16,83,Yes,7,Low,Medium,Positive,3,Female,73,72,87,87,51,61,B+
25,73,No,8,Medium,Medium,Positive,3,Female,69,68,83,79,64,59,B
22,63,No,8,Medium,Medium,Negative,1,Male,61,74,83,82,78,56,B
25,69,Yes,9,Medium,Medium,Negative,3,Female,71,63,92,84,93,59,B
24,68,Yes,6,Medium,Medium,Neutral,3,Female,67,60,87,82,69,58,B
15,77,Yes,8,High,Medium,Positive,2,Male,71,65,84,77,80,59,B
17,86,Yes,4,High,Low,Positive,3,Female,71,62,85,83,55,60,B+
24,71,Yes,7,Medium,Medium,Positive,3,Male,63,61,81,84,76,59,B
24,60,No,6,High,High,Negative,3,Female,61,60,88,75,57,56,B
20,81,Yes,5,Low,Medium,Positive,4,Male,70,63,84,84,55,59,B
21,84,No,6,Low,Medium,Positive,3,Male,71,64,88,86,70,60,B+
28,99,Yes,6,Medium,Medium,Positive,3,Male,72,73,90,85,56,64,B+
16,84,Yes,7,Medium,Medium,Neutral,2,Female,68,66,87,84,81,60,B+
23,79,Yes,6,Medium,Low,Neutral,4,Male,76,69,88,87,92,62,B+
19,83,Yes,7,Medium,Medium,Negative,4,Female,65,71,88,82,65,60,B+
19,97,Yes,6,High,Medium,Positive,2,Female,75,70,93,91,61,65,A-
27,93,No,6,High,Medium,Negative,4,Female,70,70,88,92,54,63,B+
25,73,Yes,7,Low,Medium,Neutral,4,Male,67,69,86,84,65,60,B+
25,69,Yes,7,Medium,High,Negative,3,Female,70,58,78,88,73,57,B
28,71,No,8,High,High,Neutral,1,Female,72,59,83,79,64,60,B+
20,80,No,8,Medium,Medium,Negative,4,Male,74,71,82,84,76,62,B+
24,90,No,7,Medium,Medium,Positive,3,Male,75,70,86,83,78,61,B+
18,80,No,8,Low,Low,Neutral,3,Male,64,71,85,79,50,56,B
22,63,Yes,7,Medium,High,Negative,3,Female,72,69,87,81,80,61,B+
19,89,Yes,7,Medium,Medium,Positive,3,Male,70,74,82,86,90,63,B+
21,92,Yes,8,Low,Medium,Neutral,2,Male,68,66,88,87,46,59,B
24,72,No,6,High,High,Negative,6,Female,68,70,87,85,73,61,B+
15,87,Yes,4,High,Medium,Positive,3,Male,68,74,85,83,75,60,B+
33,77,Yes,5,Medium,Medium,Neutral,5,Female,73,62,82,83,80,62,B+
14,96,Yes,9,High,Medium,Negative,3,Female,63,68,85,85,64,59,B
13,94,Yes,7,Low,Medium,Neutral,3,Male,78,76,87,89,86,61,B+
27,81,Yes,7,Medium,Low,Neutral,2,Female,65,71,89,79,72,62,B+
25,88,Yes,7,Low,Medium,Positive,3,Male,66,76,84,85,65,63,B+
24,95,Yes,8,High,High,Neutral,3,Male,80,72,87,88,81,67,A-
24,80,Yes,7,High,High,Positive,0,Female,75,71,84,83,91,63,B+
20,73,Yes,7,Low,High,Neutral,2,Male,70,67,85,86,86,59,B
15,90,Yes,8,Medium,High,Negative,3,Female,73,62,85,86,92,62,B+
20,69,No,6,Low,Medium,Negative,3,Male,65,61,83,78,58,57,B
16,76,Yes,8,Medium,Medium,Positive,1,Male,59,59,81,79,51,55,B
26,95,No,7,Medium,Medium,Neutral,3,Female,71,74,89,90,72,63,B+
19,89,Yes,7,Medium,Medium,Negative,4,Male,66,72,88,85,47,61,B+
15,76,Yes,6,Low,High,Neutral,3,Female,70,67,86,89,79,58,B
18,69,No,7,Low,Medium,Positive,3,Male,65,69,79,85,57,58,B
22,74,Yes,6,Low,High,Positive,4,Female,68,71,88,87,68,64,B+
17,71,Yes,9,Low,Medium,Neutral,5,Male,66,71,87,83,78,59,B
15,67,No,4,Medium,Medium,Negative,3,Male,64,62,82,83,69,54,B-
21,90,Yes,8,Low,High,Negative,5,Male,65,68,86,86,57,60,B+
21,70,Yes,4,Medium,High,Neutral,2,Male,62,65,87,80,89,58,B
17,78,No,8,Medium,Medium,Negative,3,Female,67,68,86,81,83,58,B
17,75,Yes,6,Medium,Medium,Positive,5,Male,67,64,87,84,75,58,B
21,99,No,8,High,Medium,Positive,4,Male,72,77,93,91,80,66,A-
11,76,Yes,7,Medium,Low,Neutral,2,Male,61,59,86,82,66,55,B
12,63,Yes,5,Low,High,Negative,2,Female,62,57,83,79,64,53,B-
